1 75466
face 	 0001 	 face 	 0002
face 	 0001 	 face 	 0003
face 	 0001 	 face 	 0004
face 	 0001 	 face 	 0005
face 	 0001 	 face 	 0006
face 	 0001 	 face 	 0007
face 	 0001 	 face 	 0008
face 	 0001 	 face 	 0009
face 	 0001 	 face 	 0010
face 	 0001 	 face 	 0011
face 	 0001 	 face 	 0012
face 	 0001 	 face 	 0013
face 	 0001 	 face 	 0014
face 	 0001 	 face 	 0015
face 	 0001 	 face 	 0016
face 	 0001 	 face 	 0017
face 	 0001 	 face 	 0018
face 	 0001 	 face 	 0019
face 	 0001 	 face 	 0020
face 	 0001 	 face 	 0021
face 	 0001 	 face 	 0022
face 	 0001 	 face 	 0023
face 	 0001 	 face 	 0024
face 	 0001 	 face 	 0025
face 	 0001 	 face 	 0026
face 	 0001 	 face 	 0027
face 	 0001 	 face 	 0028
face 	 0001 	 face 	 0029
face 	 0001 	 face 	 0030
face 	 0001 	 face 	 0031
face 	 0001 	 face 	 0032
face 	 0001 	 face 	 0033
face 	 0001 	 face 	 0034
face 	 0001 	 face 	 0035
face 	 0001 	 face 	 0036
face 	 0001 	 face 	 0037
face 	 0001 	 face 	 0038
face 	 0001 	 face 	 0039
face 	 0001 	 face 	 0040
face 	 0001 	 face 	 0041
face 	 0001 	 face 	 0042
face 	 0001 	 face 	 0043
face 	 0001 	 face 	 0044
face 	 0001 	 face 	 0045
face 	 0001 	 face 	 0046
face 	 0001 	 face 	 0047
face 	 0001 	 face 	 0048
face 	 0001 	 face 	 0049
face 	 0001 	 face 	 0050
face 	 0001 	 face 	 0051
face 	 0001 	 face 	 0052
face 	 0001 	 face 	 0053
face 	 0001 	 face 	 0054
face 	 0001 	 face 	 0055
face 	 0001 	 face 	 0056
face 	 0001 	 face 	 0057
face 	 0001 	 face 	 0058
face 	 0001 	 face 	 0059
face 	 0001 	 face 	 0060
face 	 0001 	 face 	 0061
face 	 0001 	 face 	 0062
face 	 0001 	 face 	 0063
face 	 0001 	 face 	 0064
face 	 0001 	 face 	 0065
face 	 0001 	 face 	 0066
face 	 0001 	 face 	 0067
face 	 0001 	 face 	 0068
face 	 0001 	 face 	 0069
face 	 0001 	 face 	 0070
face 	 0001 	 face 	 0071
face 	 0001 	 face 	 0072
face 	 0001 	 face 	 0073
face 	 0001 	 face 	 0074
face 	 0001 	 face 	 0075
face 	 0001 	 face 	 0076
face 	 0001 	 face 	 0077
face 	 0001 	 face 	 0078
face 	 0001 	 face 	 0079
face 	 0001 	 face 	 0080
face 	 0001 	 face 	 0081
face 	 0001 	 face 	 0082
face 	 0001 	 face 	 0083
face 	 0001 	 face 	 0084
